iae_code;iae_name
"1.761.2";"Servicios telefónicos para uso público"
"1.761.3";"Servicios telefónicos para usos especiales"
"1.769.1";"Servicios de telecomunicación con vehículos móviles, navíos"
"1.769.2";"Servicios de teletransmisión de datos"
"1.769.3";"Servicios de telecomunicación por satélites artificiales"
"1.769.9";"Otros servicios privados de telecomunicación n.c.o.p"
"1.819.1";"Instituciones de crédito"
"1.819.2";"Entidades de redescuento y crédito"
"1.819.3";"Entidades de arrendamiento financiero o leasing"
"1.819.4";"ENTIDADES DE CAMBIO DE MONEDA"
"1.819.9";"Otras entidades financieras n.c.o.p"
"1.821.1";"Entidades aseguradoras de seguros de vida"
"1.821.2";"Entidades aseguradoras de seguros de capitalización"
"1.821.3";"Entidades aseguradoras de seguros mixtos de vida y capitalización"
"1.822.1";"Entidades aseguradoras de seguros asistencia sanitaria, enfermedad y accidentes"
"1.822.2";"Entidades aseguradoras de seguros de entierro"
"1.822.3";"Entidades aseguradoras de seguros de daños materiales"
"1.822.4";"Seguros de transportes"
"1.822.9";"Entidades aseguradoras de otros seguros"
"1.831.1";"Servicios de compra-venta y contratación de valores mobiliarios"
"1.831.2";"Servicios financieros de contratación de productos"
"1.831.3";"Servicios de compensación bancaria"
"1.831.9";"Otros servicios financieros n.c.o.p"
"1.832.1";"Agencias de seguros y corredurías de seguros"
"1.832.2";"Servicios de tasación y tarificación de seguros"
"1.832.9";"Otros servicios auxiliares de seguros n.c.o.p"
"1.833.1";"Promoción de terrenos"
"1.833.2";"Promoción de edificaciones"
"1.843.1";"Servicios técnicos de ingeniería"
"1.843.2";"Servicios técnicos de arquitectura y urbanismo"
"1.843.3";"Servicios técnicos de prospecciones y estudios geológicos"
"1.843.4";"Servicios técnicos de topografía"
"1.843.5";"Servicios técnicos de delineación"
"1.843.9";"Otros servicios técnicos n.c.o.p"
"1.849.1";"Cobros de deudas y confección de facturas"
"1.849.2";"Servicios mecanográficos, taquigráficos, de reproducción de escritos"
"1.849.3";"Servicios de traducción y similares"
"1.849.4";"Servicios de custodia, seguridad y protección"
"1.849.5";"Servicios de recadería y reparto y manipulación de correspondencia"
"1.849.6";"Servicios de colocación y suministro de personal"
"1.849.7";"Servicios de gestión administrativa"
"1.849.8";"Multiservicios intensivos en personal"
"1.849.9";"Otros servicios independientes n.c.o.p"
"1.855.1";"Alquiler de aeronaves de todas clases"
"1.855.2";"Alquiler de embarcaciones"
"1.855.3";"Alquiler de bicicletas"
"1.855.9";"Alquiler de otros medios de transporte n.c.o.p"
"1.856.1";"Alquiler de bienes de consumo"
"1.856.2";"Alquiler de películas de vídeo"
"1.857.1";"Alquiler de aparatos de pesar y medir"
"1.857.2";"Servicio de pesa a medida sin alquiler del aparato"
"1.857.3";"Alquiler de contadores para automóviles"
"1.857.4";"Alquiler, lectura y conservación de contadores de energia eléctrica"
"1.857.5";"Lectura y conservación a tanto alzado de contadores de energía eléctrica"
"1.857.6";"Alquiler, lectura y conservación de contadores de gas"
"1.857.7";"Lectura y conservación a tanto alzado de contadores de gas"
"1.857.8";"Alquiler, lectura y conservación de contadores de agua"
"1.857.9";"Lectura y conservación a tanto alzado de contadores de agua"
"1.861.1";"Alquiler de viviendas"
"1.861.2";"Alquiler de locales industriales y otros alquileres n.c.o.p"
"1.921.1";"Servicios de limpieza en calles, vías públicas y jardines"
"1.921.2";"Servicios de recogida de basuras y desechos"
"1.921.3";"Exterminio de animales dañinos y desinfección"
"1.921.4";"Servicios de alcantarillado, evacuación y depuración de aguas residuales"
"1.921.5";"Servicios de incineración y eliminación de basuras y desechos"
"1.921.6";"Servicios de protección y acondicionamiento ambiental"
"1.921.7";"Servicios de protección contra incendios y accidentes"
"1.921.8";"Servicios de administración de cementerios"
"1.921.9";"Otros servicios de saneamiento y similares n.c.o.p"
"1.922.1";"Servicios de limpieza de interiores"
"1.922.2";"Servicios especializados de limpiezas (cristales, chimeneas)"
"1.931.1";"Guardería y enseñanza de educación infantil, exclusivamente"
"1.931.2";"Enseñanza de educación general básica exclusivamente"
"1.931.3";"Enseñanza de bachillerato, formación profesional exclusivamente"
"1.931.4";"Enseñanza de varias modalidades regladas"
"1.931.5";"Enseñanza de educación superior"
"1.932.1";"Enseñanza de formación y perfeccionamiento profesional no superior"
"1.932.2";"Enseñanza de formación y perfeccionamiento profesional superior"
"1.933.1";"Enseñanza de conducción de vehículos terrestres, acuáticos, etc"
"1.933.2";"Promoción de cursos y estudios en el extranjero"
"1.933.9";"Otras actividades de enseñanza tales como idiomas, mecanografía"
"1.935.1";"Colegios mayores"
"1.935.2";"Residencias de estudiantes"
"1.936.1";"Investigación en ciencias exactas y naturales"
"1.936.2";"Investigación en ciencias médicas"
"1.936.3";"Investigaciones agrarias"
"1.936.4";"Investigaciones en ciencias sociales, humanidades y jurídicas"
"1.936.5";"Investigación técnica industrial"
"1.936.9";"Otras investigaciones científicas y técnicas n.c.o.p"
"1.941.1";"Hospitales generales"
"1.941.2";"Hospitales especializados (quirúrgicos, maternidades, psiquiátricos)"
"1.942.1";"Consultorios médicos, centros de socorro sanitarios y urgencias"
"1.942.2";"Balnearios y baños"
"1.942.9";"Otros servicios sanitarios sin internados, no clasificados"
"1.961.1";"Producción de películas cinematográficas (incluso vídeos)"
"1.961.2";"Doblaje y montaje de películas"
"1.961.3";"Decoraciones escénicas para películas"
"1.962.1";"Distribución y venta de películas"
"1.962.2";"Distribución y venta al por mayor de películas en soporte de cinta magnética"
"1.963.1";"Exhibición de películas cinematográficas y vídeos en cines"
"1.963.2";"Exhibición de películas y vídeos y vídeos al aire libre"
"1.963.3";"Exhibición de películas y vídeos fuera de establecimiento permanente"
"1.963.4";"Exhibición de películas en establecimientos no especificados anteriormente"
"1.964.1";"Servicios de radiodifusión"
"1.964.2";"Servicios de televisión"
"1.964.3";"Servicios de enlace y transmisión de señales de televisión"
"1.965.1";"Espectáculos en salas y locales (excepto los taurinos)"
"1.965.2";"Espectáculos al aire libre (excepto los taurinos)"
"1.965.3";"Espectáculos fuera de establecimiento permanente (excepto los taurinos)"
"1.965.4";"Empresas de espectáculos"
"1.965.5";"Espectáculos taurinos"
"1.966.1";"Bibliotecas y museos"
"1.966.2";"Parques zoológicos, jardines botánicos y similares"
"1.966.9";"Otros servicios culturales n.c.o.p"
"1.967.1";"Instalaciones deportivas"
"1.967.2";"Escuelas y servicios de perfeccionamiento del deporte"
"1.967.3";"Alquiler de artículos para deporte en instalaciones deportivas"
"1.968.1";"Instalaciones para la celebración de espectáculos deportivos"
"1.968.2";"Organización de espectáculos deportivos"
"1.968.3";"Organización de espectáculos deportivos por federación o clubs no profesionales"
"1.969.1";"Salas de baile y discotecas"
"1.969.2";"Casinos de juego"
"1.969.3";"Juego de bingo"
"1.969.411";"Máquinas recreativas tipo A, titular del establecimiento"
"1.969.412";"Máquinas recreativas tipo A, propietario de la máquina"
"1.969.421";"Máquinas recreativas tipo B, titular del establecimiento"
"1.969.422";"Máquinas recreativas tipo B, propietario de la máquina"
"1.969.431";"Máquinas recreativas tipo C, titular del establecimiento"
"1.969.432";"Máquinas recreativas tipo C, propietario de la máquina"
"1.969.5";"Juegos de billar, ping-pong, bolos y otros"
"1.969.6";"Salones recreativos y de juegos"
"1.969.7";"Otras máquinas automáticas"
"1.971.1";"Tinte, limpieza en seco, lavado y planchado de ropas"
"1.971.2";"Limpieza y teñido de calzado"
"1.971.3";"Zurcido y reparación de ropas"
"1.972.1";"Servicios de peluquería de señoras y caballeros"
"1.972.2";"Salones e institutos de belleza y gabinetes de estética"
"1.973.1";"Servicios fotográficos"
"1.973.21";"Máquinas fotográficas y copia de documentos, titular establecimiento"
"1.973.22";"Máquinas fotográficas, propietario de la máquina"
"1.973.3";"Servicios de copias de documentos con máquina fotocopiadora"
"1.979.1";"Servicios de pompas fúnebres"
"1.979.2";"Adorno de templos y otros locales"
"1.979.3";"Agencias matrimoniales y otros servicios de relaciones sociales"
"1.979.4";"Adiestramiento de animales y otros servicios de atención de animales"
"1.979.9";"Otros servicios personales n.c.o.p"
"1.981.1";"Curiosidades en parques, castillos, grutas, cuevas, etc"
"1.981.2";"Jardines de recreo en los que la entrada es por precio"
"1.981.3";"Parques de atracciones, incluidos los acuáticos"
"1.982.1";"Tómbolas y rifas autorizadas en establecimiento permanente"
"1.982.2";"Tómbolas y rifas autorizadas fuera de establecimiento permanente"
"1.982.3";"Exposición de figuras de cera en establecimiento permanente"
"1.982.4";"Otras atracciones propias de ferias y verbena fuera de establecimiento"
"1.982.5";"Organización y celebración de apuestas deportivas, loterías"
"1.989.1";"Exhibición de billetes espectáculos públicos"
"1.989.2";"Servicios de organización de congresos, asambleas y similares"
"1.989.3";"Parques o recintos feriales"
"1.721.4";"Transporte sanitario en ambulancias"
"1.655.4";"Servicios de recarga energética para vehículos eléctricos en el ámbito privado"
"1.655.5";"Servicios de recarga energética para vehículos eléctricos en el ámbito público"
"1.504.11";"Instalaciones eléctricas en general, redes telegráficas, telefonía, tv, etc"
"1.504.12";"Instalaciones eléctricas en toda clase de edificios"
"2.451";"Ingenieros en geodesia y cartografía"
"1.854.1";"Alquiler de automóviles sin conductor"
"1.848";"Servicios integrales de correos y telecomunicaciones"
"1.819.6";"ENTIDADES DE CAMBIO DE MONEDA"
"1.320";"INTERPRETES DE INSTRUMENTOS MUSICALES"
"1.675.1";"SERVICIOS EN QUIOSCOS, CAJONES, BARRACAS, AL AIRE LIBRE EN LA VIA PUBLICA"
"1.673";"Servicios en cafes y bares"
"1.833.21";"Promoción de edificaciones - Cuota fija"
"1.931.6";"ENSEñANZAS DE REGIMEN ESPECIAL (ARTISTICA,IDIOMAS)"
"1.210";"TECNICOS EN BIOLOGIA,AGRONOMIA,SILVICULTURA"
"1.683.10";"SERVICIO DE HOSTELERIA EN FONDAS Y CASAS DE HUESPEDES"
"1.151.60";"COMERCIALIZACION DE ENERGIA ELECTRICA"
"1.152.20";"COMERCIALIZACIóN DE GAS"
"1.151.6";"COMERCIALIZACION DE ENERGIA ELECTRICA"
"1.152.2";"COMERCIALIZACION DE GAS"
"1.115.16";"COMERCIALIZACION ENERGIA ELECTRICA"
"1.115.22";"COMERCIALIZACION DE GAS"
"1.184.32";"SERV. TEC. DE ARQUITECTURA"
"1.183.4";"SERV. PROPIEDAD INMOBILIARIA E INDUSTRIA"
"1.184.31";"SERVICIOS TECNICOS DE INGENIERIA"
"1.150.41";"INSTALACIONES ELECTRICAS EN GENERAL"
"1.184.94";"SERV. CUSTODIA, SEGURIDAD Y PROTECCION"
"1.150.11";"CONSTRUCCION COMPLETA, REPAR. Y CONSERV."
"1.184.39";"OTROS SERVICIOS TECNICOS NCOP"
"1.150.23";"CONSOLID. Y PREP. TERRENOS OBRAS CIVILES"
"1.167.79";"OTROS SERV. ALIMENTACION - RESTAURACION"
"1.161.79";"COM.MAY.INTERINDUSTRIAL EXCEP. QUIMICA"
"1.161.92";"COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS"
"1.163.1";"Intermediarios del comercio"
"1.165.53";"COM.MEN.CARBURANTES Y ACEITES VEHICULOS"
"1.165.45";"COM.MEN.DE TODA CLASE DE MAQUINARIA"
"1.169.2";"REPARACION DE MAQUINARIA INDUSTRIAL"
"1.184.99";"OTROS SERVICIOS INDEPENDIENTES NCOP"
"1.183.32";"PROMOCION DE EDIFICACIONES"
"1.150.43";"INSTALACIONES FRIO Y CALOR"
"1.161.96";"COM.MAY. LIBROS, PERIODICOS Y REVISTAS"
"1.184.2";"Servicios financieros y contables"
"1.164.75";"PTOS.ALIMENTICIOS Y BEB. MAQUINAS"
"1.164.71";"COM.MEN.PTOS.ALIMENTICIOS Y BEBIDAS"
