iae_code;iae_name
"1.435.3";"Fabricación de prendas interiores y ropa de dormir de punto"
"1.435.4";"Fabricación de prendas exteriores de punto"
"1.436.1";"Textiles blanqueados"
"1.436.2";"Textiles teñidos"
"1.436.3";"Textiles estampados"
"1.436.9";"Textiles aprestados, mercerizados o acabados de otra forma"
"1.437.1";"Fabricación de alfombras y tapices"
"1.437.2";"Fabricación de tejidos impregnados"
"1.439.1";"Cordelería"
"1.439.2";"Fabricación de fieltros, tules, encajes, pasamanería, etc"
"1.439.3";"Fabricación de textiles con fibras de recuperación"
"1.439.9";"Otras industrias textiles n.c.o.p"
"1.441.1";"Cueros y pieles no acabados"
"1.441.2";"Cueros y pieles acabados"
"1.441.3";"Cueros y pieles regenerados"
"1.442.1";"Fabricación de artículos de marroquinería y viajes"
"1.442.2";"Fabricación de guantes de piel"
"1.442.9";"Fabricación de otros artículos de cuero n.c.o.p"
"1.451.1";"Productos intermedios para la fabricación de calzado"
"1.451.2";"Calzado de calle fabricado en serie"
"1.451.3";"Zapatillas de casa, calzados especiales, polainas y similares"
"1.451.4";"Recortes y desperdicios de cuero de todas procedencias"
"1.452.1";"Calzado de artesanía y a medida"
"1.452.2";"Calzado ortopédico"
"1.454.1";"Prendas de vestir hechas a medida"
"1.454.2";"Sombreros y accesorios para el vestido hechos a medida"
"1.455.1";"Confección de artículos textiles para el hogar y tapicería"
"1.455.9";"Confección de otros artículos con materias textiles n.c.o.p"
"1.456.1";"Peletería natural"
"1.456.2";"Peletería artificial"
"1.461.1";"Productos del aserrado y preparación industrial de madera"
"1.461.2";"Productos residuales del aserrado y preparación de la industria de la madera"
"1.462.1";"Chapas de madera"
"1.462.2";"Maderas chapadas, contrachapadas y tableros celulares"
"1.462.3";"Tableros y paneles de fibras y de partículas"
"1.462.4";"Maderas mejoradas"
"1.463.1";"Puertas y ventanas de madera"
"1.463.2";"Parquet entarimado y adoquines de madera"
"1.463.3";"Otras piezas de carpintería para la construcción"
"1.463.4";"Elementos estructurales y construcciones prefabricadas de madera"
"1.464.1";"Envases y embalajes industriales de madera"
"1.464.2";"Tonelería"
"1.464.3";"Estuches, baúles, maletas y otros envases de madera"
"1.465.1";"Objetos de madera de uso doméstico y decorativo"
"1.465.2";"Herramientas, mangos, monturas y artículos similares de madera"
"1.465.3";"Artículos de madera para la fabricación y conservación calzado"
"1.465.4";"Artículos de madera para la industria textil"
"1.465.5";"Calzado de madera"
"1.465.6";"Harina y lana de madera"
"1.465.9";"Otros objetos diversos de madera (excepto muebles)"
"1.466.1";"Productos de corcho"
"1.466.2";"Productos residuales de la fabricación de artículos de corcho"
"1.467.1";"Artículos de materias trenzables"
"1.467.2";"Cepillos, brochas, escobas y artículos similares"
"1.468.1";"Fabricación de mobiliario de madera para el hogar"
"1.468.2";"Fabricación de mobiliario de madera escolar y de oficina"
"1.468.3";"Fabricación de muebles diversos de madera, junco, mimbre y caña"
"1.468.4";"Fabricación de ataúdes"
"1.468.5";"Actividades anexas a la industria del mueble (acabado, barnizado,...)"
"1.471.1";"Pasta papelera"
"1.471.2";"Subproductos y productos residuales de la fabricación de pasta papelera"
"1.472.1";"Papel y cartón"
"1.472.2";"Productos residuales de la fabricación del papel y cartón"
"1.473.1";"Fabricación de cartón ondulado y artículos de cartón ondulado"
"1.473.2";"Fabricación de otros artículos de envase y embalaje en papel"
"1.473.3";"Fabricación de artículos de oficina, escritorio, de papel y cartón"
"1.473.4";"Fabricación de artículos de decoración de uso doméstico, papel y cartón"
"1.473.9";"Fabricación de otros manipulados de papel y cartón n.c.o.p"
"1.474.1";"Impresión de textos o imágenes por cualquier procedimiento"
"1.474.2";"Impresión de prensa diaria por cualquier procedimiento"
"1.474.3";"Reproducción de textos por multicopistas, fotocopias, etc"
"1.475.1";"Estereotipia, galvanotipia, galvanoplastia, etc"
"1.475.2";"Composición de textos por cualquier procedimiento"
"1.475.3";"Reproducción de textos, imágenes destinados a la impresión"
"1.475.4";"Encuadernación"
"1.476.1";"Edición de libros"
"1.476.2";"Edición de periódicos y revistas"
"1.476.9";"Otras ediciones n.c.o.p"
"1.481.1";"Fabricación de cubiertas y cámaras"
"1.481.2";"Recauchutado y reconstrucción de cubiertas"
"1.481.9";"Fabricación de otros artículos de caucho n.c.o.p"
"1.482.1";"Fabricación de productos semielaborados de materias plásticas"
"1.482.2";"Fabricación de artículos acabados de materias plásticas"
"1.491.1";"Joyería"
"1.491.2";"Bisutería"
"1.492.1";"Instrumentos de cuerda de teclado"
"1.492.2";"Instrumentos de viento de teclado"
"1.492.3";"Instrumentos de cuerda"
"1.492.4";"Instrumentos de viento"
"1.492.5";"Instrumentos de percusión"
"1.492.6";"Instrumentos musicales electrónicos"
"1.492.7";"Otros instrumentos musicales"
"1.492.8";"Partes, piezas sueltas y accesorios de instrumentos musicales"
"1.493.1";"Películas y copias cinematográficas reveladas"
"1.493.2";"Placas, películas fotográficas negativas y diapositivas, revelado"
"1.493.3";"Copias fotográficas y ampliaciones"
"1.494.1";"Fabricación de juegos, juguetes y artículos de puericultura"
"1.494.2";"Fabricación de artículos de deporte"
"1.495.1";"Fabricación de artículos de escritorio"
"1.495.9";"Fabricación de otros artículos n.c.o.p"
"1.501.1";"Construcción completa, reparación y conservación de edificaciones"
"1.501.2";"Construcción completa, reparación y conservación obras civiles"
"1.501.3";"Albañilería y pequeños trabajos de construcción en general"
"1.502.1";"Demoliciones y derribos en general"
"1.502.2";"Consolidación y preparación de terrenos para la construcción de edificaciones"
"1.502.3";"Consolidación y preparación de terrenos para la realización de obras civiles"
"1.502.4";"Cimentaciones y pavimentaciones para la construcción de edificaciones"
"1.502.5";"Cimentaciones y pavimentaciones en obras civiles"
"1.502.6";"Perforaciones para alumbramientos de aguas"
"1.503.1";"Preparación y montaje de estructuras y cubiertas en edificaciones"
"1.503.2";"Preparación y montaje de estructuras y cubiertas en obras civiles"
"1.503.3";"Montajes de estructuras metálicas para transportes, puertos"
"1.503.4";"Elaboración de obra en piedra natural"
"1.504.1";"Instalaciones eléctricas en general"
"1.504.2";"Instalaciones de fontanería"
"1.504.3";"Instalaciones de frío, calor y acondicionamiento de aire"
"1.504.4";"Instalación de pararrayos y similares"
"1.504.5";"Montaje e instalación de cocinas de todo tipo y clase"
"1.504.6";"Montaje e instalación de aparatos elevadores de cualquier clase"
"1.504.7";"Instalaciones telefónicas, telegráficas, televisión, etc"
"1.504.8";"Montajes metálicos e instalaciones industriales completas"
"1.505.1";"Revestimientos exteriores e interiores de todas clases"
"1.505.2";"Solados y pavimentos de todas clases en cualquier tipo de obra"
"1.505.3";"Preparación y colocación de solados y pavimentos de madera"
"1.505.4";"Colocación y aislamiento fónicos, térmicos y acústicos"
"1.505.5";"Carpintería y cerrajería"
"1.505.6";"Pintura, revestimientos y terminación y decoración de locales"
"1.505.7";"Trabajos en yeso y escayola y decoración de edificios y locales"
"1.506.0";"Instalaciones de andamios, cimbras, encofrados, etc"
"1.612.1";"Venta al por mayor de toda clase de productos alimenticios, bebidas, tabaco"
"1.612.2";"Venta al por mayor de cereales"
"1.399.1";"Fabricación de relojes y cronógrafos de pulsera y bolsillo"
"1.399.2";"Fabricación de relojes despertadores"
"1.399.3";"Fabricación de relojes de pared y sobremesa"
"1.399.4";"Fabricación de relojes de bordo para coches, barcos, aviones, etc"
"1.399.5";"Fabricación de relojes de torre, fachada, estación y análogos"
"1.399.6";"Fabricación de aparatos de control, contadores de tiempo y otros instrumentos"
"1.399.7";"Fabricación de máquinas de reloj montadas"
"1.399.8";"Fabricación de cajas de relojes"
"1.399.9";"Fabricación de accesorios, partes y piezas sueltas de relojes y otros"
"1.411.1";"Fabricación y envasado de aceite de oliva"
"1.411.2";"Fabricación de aceite de oliva"
"1.411.3";"Envasado de aceite de oliva"
"1.412.1";"Extracción y envasado de aceites de semillas oleaginosas"
"1.412.2";"Obtención y envasado de aceite y grasas de animales marinos"
"1.412.3";"Refinado, envasado y otros tratamientos de grasas animales"
"1.412.4";"Obtención y envasado de margarina y grasas alimenticias"
"1.413.1";"Sacrificio y despiece de ganado en general"
"1.413.2";"Fabricación de productos cárnicos de todas clases"
"1.413.3";"Salas de despiece autónomas"
"1.413.4";"Incubación y venta de polluelos recien nacidos"
"1.414.1";"Preparación de leche"
"1.414.2";"Preparación de leche en conserva"
"1.414.3";"Fabricación de queso y mantequilla"
"1.414.4";"Elaboración de helados y similares"
"1.415.1";"Fabricación de conservas vegetales"
"1.415.2";"Fabricación de extractos, zumos y otros productos vegetales"
"1.415.3";"Limpieza, clasificación y envase de frutas y otros productos vegetales"
"1.416.1";"Fabricación de conservas de pescado y otros productos marinos"
"1.416.2";"Fabricación de productos residuales de la preparación y conservación de pescado"
"1.417.1";"Fabricación de harinas y sémolas"
"1.417.2";"Fabricación de otros productos de molinería"
"1.418.1";"Fabricación de pastas alimenticias"
"1.418.2";"Fabricación de productos amiláceos"
"1.419.1";"Industria del pan y de la bollería"
"1.419.2";"Industrias de la bollería, pastelería y galletas"
"1.419.3";"Industrias de elaboración de masas fritas"
"1.420.1";"Industrias del azúcar y jarabes de azúcar"
"1.420.2";"Productos residuales de la industria del azúcar"
"1.421.1";"Industria del cacao y chocolate"
"1.421.2";"Elaboración de productos de confitería"
"1.422.1";"Forrajes deshidratados melazados, etc. para alimentación animal"
"1.422.2";"Harinas pescado y subproductos animales para elaboración de piensos"
"1.422.3";"Elaboración de piensos compuestos, excepto los de animales domésticos"
"1.422.4";"Elaboración de otros piensos compuestos para animales domésticos"
"1.423.1";"Elaboración de café y té y sucedáneos de café"
"1.423.2";"Elaboración de sopas preparadas, extractos y condimentos"
"1.423.3";"Elaboración de productos dietéticos y de régimen"
"1.423.9";"Elaboración de otros productos alimenticios n.c.o.p"
"1.424.1";"Destilación y rectificación de alcoholes"
"1.424.2";"Obtención de aguardientes naturales"
"1.424.3";"Obtención de aguardientes compuestos, licores y aperitivos"
"1.425.1";"Elaboración y crianza de vinos"
"1.425.2";"Elaboración de vinos espumosos"
"1.425.3";"Elaboración de otros vinos especiales"
"1.425.9";"Otras industrias vinícolas n.c.o.p"
"1.426.1";"Sidra y otras bebidas fermentadas similares"
"1.426.2";"Productos residuales de la sidrería"
"1.427.1";"Fabricación de cerveza y malta cervecera"
"1.427.2";"Subproductos y productos residuales de la fabricación de cerveza"
"1.428.1";"Preparación y envasado de aguas minerales naturales"
"1.428.2";"Fabricación de aguas gaseosas y otras bebidas analcohólicas"
"1.429.1";"Elaboración de cigarros y cigarrillos"
"1.429.2";"Primera transformación del tabaco sin elaboración"
"1.431.1";"Preparación de fibras de algodón (desmotado, cardado, peinado)"
"1.431.2";"Hilado y retorcido del algodón y sus mezclas"
"1.431.3";"Tejido de algodón y sus mezclas"
"1.432.1";"Preparación de fibras de lana (clasificación, lavado, cardado)"
"1.432.2";"Hilado y retorcido de la lana y sus mezclas"
"1.011";"Explotación de ganado bovino"
"1.222.1";"Acero bruto (siderurgia no integral)"
"1.222.2";"Semiproductos (siderurgia no integral)"
"1.223.2";"Fabricación de productos tubulares de acero soldados longitudinalmente"
"1.223.4";"Fabricación de accesorios para tuberías"
"1.224.2";"Productos calibrados por estirado"
"1.224.4";"Productos calibrados por rectificado"
"1.224.6";"Fleje laminado en frío"
"1.224.8";"Fleje recubierto"
"1.121.1";"Trabajos de testificación diversos procedimientos en sondeos"
"1.121.3";"Trabajos de tomas de medida de presión, apertura y cierre"
"1.122.2";"Distribución de crudos de petróleo"
"1.123.2";"Distribución de gas natural"
"1.141";"Extracción y preparación de minerales radiactivos"
"1.142";"Preparación de minerales radiactivos factoría independiente"
"1.151.5";"Transporte y distribución de energía eléctrica"
"1.153";"Producción y distribución de vapor y agua caliente"
"1.161.3";"Tratamiento de agua para su suministro"
"1.162";"Fabricación de hielo para la venta"
"1.211.2";"Preparación de minerales férreos en factoría independiente"
"1.212.2";"Preparación de minerales metálicos en factoría independiente"
"1.221.2";"Acero bruto (siderurgia integral)"
"1.221.5";"Productos laminados en frío (siderurgia integral)"
"1.221.6";"Productos derivados de los anteriores incluso fabricación de tubo"
"1.225.2";"Producción y primera transformación del cobre"
"1.232.2";"Extracción de fosfatos y nitratos"
"1.234";"Extracción de piritas y azufre"
"1.241";"Fabricación de productos de tierras cocidas para la construcción"
"1.244";"Industrias de la piedra natural"
"1.245";"Fabricación de abrasivos"
"1.249";"Industrias de otros productos minerales no metálicos n.c.o.p"
"1.312";"Forja, estampado, embutición, troquelado, corte y repulsado"
"1.313";"Tratamiento y recubrimiento de los metales"
"1.315";"Construcción de grandes depósitos y calderería gruesa"
"1.330";"Construcción de máquinas de oficina y ordenadores"
"1.341";"Fabricación de hilos y cables eléctricos"
"1.342";"Fabricación de material eléctrico de utilización y equipamiento"
"1.343";"Fabricación de pilas y acumuladores"
"1.344";"Fabricación de contadores y aparatos de medida, eléctricos"
"1.345";"Fabricación de aparatos electrodomésticos"
"1.346";"Fabricación de lámparas y material de alumbrado"
"1.352";"Fabricación de aparatos y equipo electromédico y de uso profesional"
"1.353";"Fabricación de aparatos y equipo electrónico de señalización, control"
"1.354";"Fabricación de componentes electrónicos y circuitos integrados"
"1.361";"Construcción y montaje de vehículos automóviles y sus motores"
"1.362";"Construcción de carrocerías, remolques y volquetes"
"1.363";"Fabricación de equipo, componentes y piezas repuesto vehículos automóviles"
"1.371";"Construcción naval"
"1.372";"Reparación y mantenimiento de buques"
"1.381";"Construcción, reparación y mantenimiento de material ferroviario"
"1.382";"Construcción, reparación y mantenimiento de aeronaves"
"1.383";"Construcción de bicicletas, motocicletas y sus piezas repuestos"
"1.389";"Construcción de otro material de transporte n.c.o.p"
"1.391";"Fabricación de instrumentos de precisión, medida y control"
"1.399";"Fabricación de relojes y otros instrumentos n.c.o.p"
"1.415";"Fabricación de jugos y conservas vegetales"
"1.416";"Fabricación de conservas de pescado y otros productos marinos"
"1.420";"Industria del azúcar"
"1.426";"Sidrerías"
"1.427";"Fabricación de cerveza y malta cervecera"
